product_id,product_name,category,price,stock_quantity
1,Might Product,Electronics,1282.46,389
2,Rise Product,Fashion,557.31,81
3,Garden Product,Sports,1475.58,54
4,Trial Product,Electronics,1185.08,25
5,Lot Product,Fashion,196.45,268
6,Very Product,Sports,1208.02,111
7,Employee Product,Sports,1434.88,224
8,Late Product,Sports,448.68,152
9,Interview Product,Electronics,1620.77,398
10,Stand Product,Beauty,1613.58,184
11,Analysis Product,Fashion,562.96,500
12,Political Product,Electronics,1529.35,57
13,Simple Product,Home,766.06,443
14,Thank Product,Home,694.47,423
15,Husband Product,Beauty,96.47,284
16,Service Product,Beauty,258.4,50
17,Form Product,Sports,1108.56,463
18,Indeed Product,Sports,1724.8,108
19,Population Product,Electronics,1412.1,348
20,Wrong Product,Home,463.52,50
21,Situation Product,Electronics,1712.08,204
22,Owner Product,Home,563.17,93
23,Phone Product,Fashion,746.66,353
24,Not Product,Electronics,541.29,321
25,Network Product,Sports,1273.61,383
26,Put Product,Beauty,497.17,204
27,Type Product,Sports,547.2,122
28,Sea Product,Electronics,1372.38,127
29,Stop Product,Home,1645.39,215
30,American Product,Fashion,542.8,477
31,Near Product,Home,1886.39,118
32,Boy Product,Beauty,1314.32,462
33,Live Product,Beauty,1829.95,83
34,Loss Product,Fashion,537.11,391
35,The Product,Home,1127.12,392
36,Understand Product,Sports,1173.33,214
37,And Product,Fashion,730.37,270
38,Understand Product,Electronics,992.1,450
39,Else Product,Fashion,228.2,415
40,Natural Product,Sports,1364.16,42
41,Note Product,Sports,775.69,249
42,Individual Product,Sports,1062.94,450
43,Simple Product,Electronics,1885.44,359
44,Among Product,Home,1770.73,403
45,Open Product,Electronics,1285.51,160
46,Impact Product,Beauty,875.18,11
47,Name Product,Home,1908.09,266
48,Southern Product,Sports,1526.3,477
49,Professor Product,Home,221.76,440
50,Appear Product,Sports,1281.51,111
51,Customer Product,Fashion,314.15,286
52,Film Product,Sports,1907.46,480
53,Less Product,Home,11.14,260
54,Information Product,Home,48.76,459
55,Usually Product,Home,1970.79,132
56,Fly Product,Sports,125.27,494
57,Staff Product,Beauty,166.73,427
58,Their Product,Sports,147.73,402
59,Feeling Product,Beauty,260.26,494
60,Main Product,Home,1104.11,280
61,Compare Product,Beauty,1746.14,118
62,Knowledge Product,Fashion,1858.54,375
63,Financial Product,Home,630.32,234
64,Position Product,Beauty,1800.23,71
65,Wide Product,Electronics,503.33,183
66,Arm Product,Sports,51.86,127
67,Road Product,Electronics,1181.0,46
68,Nation Product,Electronics,1418.6,127
69,Well Product,Electronics,144.13,450
70,Change Product,Sports,667.55,131
71,Major Product,Beauty,564.17,119
72,Themselves Product,Sports,1083.08,305
73,Race Product,Beauty,950.62,423
74,Live Product,Electronics,820.05,59
75,Believe Product,Home,1321.38,226
76,Seven Product,Electronics,828.09,354
77,Month Product,Electronics,1310.38,41
78,Budget Product,Home,811.22,419
79,Couple Product,Fashion,1724.73,108
80,Start Product,Beauty,388.52,81
81,Pay Product,Home,849.54,246
82,Writer Product,Electronics,507.11,236
83,Wall Product,Sports,1617.96,60
84,Safe Product,Sports,110.67,438
85,Office Product,Electronics,39.37,484
86,Central Product,Fashion,1509.6,95
87,Increase Product,Beauty,818.76,119
88,Job Product,Electronics,1730.65,94
89,Game Product,Beauty,764.16,145
90,Little Product,Beauty,1853.77,156
91,Ago Product,Sports,851.78,348
92,Country Product,Fashion,1439.63,107
93,Long Product,Electronics,600.45,306
94,Performance Product,Electronics,1474.12,392
95,Watch Product,Electronics,634.07,309
96,Seem Product,Sports,958.81,90
97,War Product,Sports,123.19,51
98,Defense Product,Electronics,1704.17,314
99,Us Product,Fashion,145.24,216
100,Look Product,Sports,248.57,136
101,Believe Product,Electronics,1162.05,327
102,Enough Product,Sports,173.15,299
103,Game Product,Home,1050.34,114
104,Role Product,Home,1342.75,132
105,Range Product,Fashion,538.57,353
106,What Product,Beauty,1294.55,171
107,Seek Product,Electronics,1858.75,14
108,Style Product,Sports,921.99,61
109,Common Product,Fashion,155.79,269
110,Serious Product,Home,537.75,461
111,Significant Product,Fashion,146.89,199
112,Candidate Product,Beauty,577.12,436
113,Benefit Product,Home,1091.0,323
114,Build Product,Sports,1967.87,14
115,Seat Product,Sports,1339.05,163
116,Listen Product,Electronics,1864.19,490
117,Protect Product,Home,1757.47,69
118,Him Product,Sports,1780.53,89
119,Bed Product,Sports,551.97,117
120,Need Product,Fashion,1438.05,361
121,Second Product,Home,1272.13,268
122,If Product,Electronics,982.18,57
123,Short Product,Home,1272.23,32
124,Strong Product,Fashion,17.06,336
125,Much Product,Fashion,1959.8,389
126,Population Product,Beauty,889.25,297
127,Collection Product,Electronics,29.24,493
128,Human Product,Fashion,1767.38,289
129,Oil Product,Home,81.7,308
130,Husband Product,Beauty,1109.52,75
131,Animal Product,Home,93.24,470
132,Special Product,Electronics,1866.85,470
133,Conference Product,Fashion,722.04,351
134,While Product,Sports,214.56,462
135,Government Product,Sports,1750.68,393
136,Others Product,Fashion,317.56,452
137,Try Product,Fashion,333.38,461
138,Receive Product,Fashion,830.47,387
139,Travel Product,Beauty,1849.73,420
140,Citizen Product,Fashion,1343.12,146
141,Commercial Product,Electronics,326.8,205
142,Trouble Product,Beauty,1745.61,123
143,Check Product,Beauty,407.15,189
144,Country Product,Fashion,617.33,124
145,Specific Product,Fashion,57.09,214
146,Seem Product,Electronics,663.24,405
147,Approach Product,Sports,565.46,214
148,Kind Product,Sports,1362.24,179
149,Foot Product,Electronics,1879.08,459
150,For Product,Fashion,1941.1,307
